ensembl_gene_id,chr_name,gene_name,Description,gene_start,gene_end,min_snp,p,pos,aff,unaff,upstream,downstream,in_gene,nAff,nUnaff,FDR,dist2Gene
ENSOCUG00000027010,GL019152,PTH2,parathyroid hormone 2 [Source:HGNC Symbol;Acc:HGNC:30828],18329,18997,268375_28,0.0166,22841,15/17/8,4/15/15,TRUE,FALSE,FALSE,40,34,0.23532111553784865,3844
ENSOCUG00000008200,GL018702,ALOX5AP,arachidonate 5-lipoxygenase activating protein [Source:HGNC Symbol;Acc:HGNC:436],1156963,1188510,197868_8,0.016640000000000002,1190405,0/0/24,5/2/19,FALSE,TRUE,FALSE,24,26,0.23532111553784865,1895
ENSOCUG00000015227,GL018753,ADAMTS17,ADAM metallopeptidase with thrombospondin type 1 motif 17 [Source:HGNC Symbol;Acc:HGNC:17109],352698,619750,225081_67,0.01665,466690,0/1/39,1/6/23,FALSE,FALSE,TRUE,40,30,0.23532111553784865,0
ENSOCUG00000021262,chr1,USP35,ubiquitin specific peptidase 35 [Source:HGNC Symbol;Acc:HGNC:20061],138527832,138561662,90813_77,0.01668,138574485,4/16/8,9/4/7,TRUE,FALSE,FALSE,28,20,0.23532111553784865,12823
ENSOCUG00000027266,chr1,KCTD21,potassium channel tetramerization domain containing 21 [Source:HGNC Symbol;Acc:HGNC:27452],138584245,138585024,90813_77,0.01668,138574485,4/16/8,9/4/7,TRUE,FALSE,FALSE,28,20,0.23532111553784865,9760
ENSOCUG00000017861,chr15,LRAT,lecithin retinol acyltransferase (phosphatidylcholine--retinol O-acyltransferase) [Source:HGNC Symbol;Acc:HGNC:6685],11104873,11114355,49595_61,0.016720000000000002,11080379,0/0/40,2/2/20,TRUE,FALSE,FALSE,40,24,0.23532111553784865,24494
ENSOCUG00000029343,GL018745,VWC2,von Willebrand factor C domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30200],1376816,1477892,221958_53,0.016720000000000002,1410135,0/12/29,5/13/17,FALSE,FALSE,TRUE,41,35,0.23532111553784865,0
ENSOCUG00000026487,AAGW02083058,NA,NA,178,982,194406_14,0.01674,5407,0/35/1,2/18/4,FALSE,TRUE,FALSE,36,24,0.23532111553784865,4425
ENSOCUG00000004362,chr19,NA,NA,48833037,48898895,86288_17,0.01675,48819602,0/11/31,0/2/34,TRUE,FALSE,FALSE,42,36,0.23532111553784865,13435
ENSOCUG00000012856,chr19,ICAM2,intercellular adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:5345],48796467,48800643,86288_17,0.01675,48819602,0/11/31,0/2/34,TRUE,FALSE,FALSE,42,36,0.23532111553784865,18959
ENSOCUG00000007131,GL018786,FAM187B,family with sequence similarity 187 member B [Source:HGNC Symbol;Acc:HGNC:26366],151587,158518,233603_42,0.016800000000000002,183538,0/0/29,1/4/20,TRUE,FALSE,FALSE,29,25,0.23532111553784865,25020
ENSOCUG00000016627,GL018786,LSR,lipolysis stimulated lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:29572],165303,185766,233603_42,0.016800000000000002,183538,0/0/29,1/4/20,FALSE,FALSE,TRUE,29,25,0.23532111553784865,0
ENSOCUG00000021531,GL019020,NA,NA,297489,300393,262442_39,0.016800000000000002,334436,0/0/29,0/5/20,TRUE,FALSE,FALSE,29,25,0.23532111553784865,34043
ENSOCUG00000024212,GL018786,MAG,myelin associated glycoprotein [Source:HGNC Symbol;Acc:HGNC:6783],202689,219210,233603_42,0.016800000000000002,183538,0/0/29,1/4/20,TRUE,FALSE,FALSE,29,25,0.23532111553784865,19151
ENSOCUG00000026224,GL018786,HAMP,hepcidin antimicrobial peptide [Source:HGNC Symbol;Acc:HGNC:15598],196798,198697,233603_42,0.016800000000000002,183538,0/0/29,1/4/20,TRUE,FALSE,FALSE,29,25,0.23532111553784865,13260
ENSOCUG00000026259,GL018786,USF2,"upstream transcription factor 2, c-fos interacting [Source:HGNC Symbol;Acc:HGNC:12594]",187339,194368,233603_42,0.016800000000000002,183538,0/0/29,1/4/20,TRUE,FALSE,FALSE,29,25,0.23532111553784865,3801
ENSOCUG00000027102,GL019020,NA,NA,358224,372495,262442_39,0.016800000000000002,334436,0/0/29,0/5/20,TRUE,FALSE,FALSE,29,25,0.23532111553784865,23788
ENSOCUG00000004180,chr13,FGGY,FGGY carbohydrate kinase domain containing [Source:HGNC Symbol;Acc:HGNC:25610],106945125,107425322,22516_8,0.01684,107253332,1/19/17,7/17/7,FALSE,FALSE,TRUE,37,31,0.23532111553784865,0
ENSOCUG00000004806,chr14,PCNT,pericentrin [Source:HGNC Symbol;Acc:HGNC:16068],163520785,163668688,41326_72,0.016870000000000003,163559507,3/25/12,10/12/13,FALSE,FALSE,TRUE,40,35,0.23532111553784865,0
ENSOCUG00000015801,chr14,ATP13A4,ATPase 13A4 [Source:HGNC Symbol;Acc:HGNC:25422],89279682,89426464,47536_71,0.01694,89457468,11/19/8,7/8/17,TRUE,FALSE,FALSE,38,32,0.23532111553784865,31004
ENSOCUG00000015832,chr14,OPA1,"OPA1, mitochondrial dynamin like GTPase [Source:HGNC Symbol;Acc:HGNC:8140]",89458079,89555005,47536_71,0.01694,89457468,11/19/8,7/8/17,TRUE,FALSE,FALSE,38,32,0.23532111553784865,611
ENSOCUG00000007955,chr1,TEAD1,TEA domain transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:11714],154523039,154719439,93423_22,0.016960000000000003,154525167,1/18/22,5/6/23,FALSE,FALSE,TRUE,41,34,0.23532111553784865,0
ENSOCUG00000005421,chr13,NA,NA,34954393,34958370,31953_59,0.017,34982354,0/2/38,0/8/23,TRUE,FALSE,FALSE,40,31,0.23532111553784865,23984
ENSOCUG00000008307,chr13,NA,NA,34980687,34984301,31953_59,0.017,34982354,0/2/38,0/8/23,FALSE,FALSE,TRUE,40,31,0.23532111553784865,0
ENSOCUG00000015901,chr16,AKT3,AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393],23664693,23951874,56893_63,0.017040000000000003,23641404,3/7/22,0/12/9,TRUE,FALSE,FALSE,32,21,0.23532111553784865,23289
ENSOCUG00000028102,GL018726,NPS,"Oryctolagus cuniculus neuropeptide S (LOC100302434), mRNA. [Source:RefSeq mRNA;Acc:NM_001163113]",1868668,1871943,213476_20,0.017070000000000002,1884463,0/18/19,3/5/13,FALSE,TRUE,FALSE,37,21,0.23532111553784865,12520
ENSOCUG00000029441,chr10,NA,NA,7893600,7952498,4450_18,0.01709,7971870,1/12/21,6/9/8,FALSE,TRUE,FALSE,34,23,0.23532111553784865,19372
ENSOCUG00000017458,chr7,NEB,nebulin [Source:HGNC Symbol;Acc:HGNC:7720],90491560,90705993,169645_77,0.017140000000000002,90686959,2/27/10,4/7/10,FALSE,FALSE,TRUE,39,21,0.23532111553784865,0
ENSOCUG00000023728,GL018848,NA,NA,486157,487057,246156_12,0.01717,507116,0/11/21,0/1/20,FALSE,TRUE,FALSE,32,21,0.23532111553784865,20059
ENSOCUG00000014396,chr9,ZNF532,zinc finger protein 532 [Source:HGNC Symbol;Acc:HGNC:30940],99274710,99387883,191751_10,0.01719,99296504,7/17/8,1/11/16,FALSE,FALSE,TRUE,32,28,0.23532111553784865,0
ENSOCUG00000000023,chr8,PKP2,plakophilin 2 [Source:HGNC Symbol;Acc:HGNC:9024],8464308,8549166,178485_13,0.0172,8429231,0/8/22,1/10/6,TRUE,FALSE,FALSE,30,17,0.23532111553784865,35077
ENSOCUG00000014285,chr7,NA,NA,154580456,154764825,162362_12,0.0172,154710797,0/0/26,5/2/22,FALSE,FALSE,TRUE,26,29,0.23532111553784865,0
ENSOCUG00000021402,GL018699,NA,NA,8523156,8523368,196850_19,0.017240000000000002,8491485,0/2/38,3/6/23,TRUE,FALSE,FALSE,40,32,0.23532111553784865,31671
ENSOCUG00000012670,GL018948,AGAP1,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:16922]",683,337665,256922_44,0.01726,292348,2/14/15,6/11/3,FALSE,FALSE,TRUE,31,20,0.23532111553784865,0
ENSOCUG00000007066,chr16,USP6NL,USP6 N-terminal like [Source:HGNC Symbol;Acc:HGNC:16858],16084153,16213745,55912_73,0.01727,16183492,1/15/19,6/12/7,FALSE,FALSE,TRUE,35,25,0.23532111553784865,0
ENSOCUG00000009326,chr11,TMEM167A,transmembrane protein 167A [Source:HGNC Symbol;Acc:HGNC:28330],3288631,3308052,6362_26,0.01727,3309354,0/0/40,0/5/29,TRUE,FALSE,FALSE,40,34,0.23532111553784865,1302
ENSOCUG00000015052,chr11,XRCC4,X-ray repair cross complementing 4 [Source:HGNC Symbol;Acc:HGNC:12831],3325465,3650155,6362_26,0.01727,3309354,0/0/40,0/5/29,TRUE,FALSE,FALSE,40,34,0.23532111553784865,16111
ENSOCUG00000024612,GL018847,FAM102A,family with sequence similarity 102 member A [Source:HGNC Symbol;Acc:HGNC:31419],565556,591631,246082_41,0.01729,629581,0/1/32,2/6/21,FALSE,TRUE,FALSE,33,29,0.23532111553784865,37950
ENSOCUG00000026071,GL018847,PIP5KL1,phosphatidylinositol-4-phosphate 5-kinase like 1 [Source:HGNC Symbol;Acc:HGNC:28711],599168,606641,246082_41,0.01729,629581,0/1/32,2/6/21,FALSE,TRUE,FALSE,33,29,0.23532111553784865,22940
ENSOCUG00000026664,GL018847,DPM2,"dolichyl-phosphate mannosyltransferase subunit 2, regulatory [Source:HGNC Symbol;Acc:HGNC:3006]",594498,596325,246082_41,0.01729,629581,0/1/32,2/6/21,FALSE,TRUE,FALSE,33,29,0.23532111553784865,33256
ENSOCUG00000011801,chr9,RNF165,ring finger protein 165 [Source:HGNC Symbol;Acc:HGNC:31696],87726151,87830551,190143_27,0.017310000000000002,87802778,2/13/27,2/20/11,FALSE,FALSE,TRUE,42,33,0.23532111553784865,0
ENSOCUG00000007919,GL018889,NA,NA,146736,147213,251026_54,0.017320000000000002,131516,0/24/15,3/11/18,FALSE,TRUE,FALSE,39,32,0.23532111553784865,15220
ENSOCUG00000015570,GL018702,FRY,FRY microtubule binding protein [Source:HGNC Symbol;Acc:HGNC:20367],2720616,3003729,198051_45,0.01735,2804741,6/25/6,2/11/13,FALSE,FALSE,TRUE,37,26,0.23532111553784865,0
ENSOCUG00000013679,GL018716,NA,NA,9311,11962,207163_55,0.017390000000000003,10093,0/25/14,0/11/21,FALSE,FALSE,TRUE,39,32,0.23532111553784865,0
ENSOCUG00000006312,chr18,PDCD11,programmed cell death 11 [Source:HGNC Symbol;Acc:HGNC:13408],51324696,51376659,75678_43,0.01743,51396999,6/16/13,16/7/12,FALSE,TRUE,FALSE,35,35,0.23532111553784865,20340
ENSOCUG00000006336,chr18,CALHM2,calcium homeostasis modulator 2 [Source:HGNC Symbol;Acc:HGNC:23493],51378287,51383311,75678_43,0.01743,51396999,6/16/13,16/7/12,TRUE,FALSE,FALSE,35,35,0.23532111553784865,13688
ENSOCUG00000013760,chr18,NEURL1,neuralized E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:7761],51420298,51490128,75678_43,0.01743,51396999,6/16/13,16/7/12,TRUE,FALSE,FALSE,35,35,0.23532111553784865,23299
ENSOCUG00000025668,chr18,CALHM3,calcium homeostasis modulator 3 [Source:HGNC Symbol;Acc:HGNC:23458],51396832,51400510,75678_43,0.01743,51396999,6/16/13,16/7/12,FALSE,FALSE,TRUE,35,35,0.23532111553784865,0
ENSOCUG00000027986,chr18,CALHM1,calcium homeostasis modulator 1 [Source:HGNC Symbol;Acc:HGNC:23494],51385151,51387822,75678_43,0.01743,51396999,6/16/13,16/7/12,TRUE,FALSE,FALSE,35,35,0.23532111553784865,9177
ENSOCUG00000002349,chr13,CFAP45,cilia and flagella associated protein 45 [Source:HGNC Symbol;Acc:HGNC:17229],33222913,33253113,31862_39,0.017490000000000002,33282645,0/8/28,3/11/14,FALSE,TRUE,FALSE,36,28,0.23532111553784865,29532
ENSOCUG00000011294,chr2,NA,NA,38546136,38556563,120055_10,0.0175,38576344,2/14/23,0/2/21,TRUE,FALSE,FALSE,39,23,0.23532111553784865,19781
ENSOCUG00000008788,chr1,C9orf135,chromosome 9 open reading frame 135 [Source:HGNC Symbol;Acc:HGNC:31422],56062708,56177545,99937_12,0.017550000000000003,56060585,0/0/41,0/4/21,TRUE,FALSE,FALSE,41,25,0.23532111553784865,2123
ENSOCUG00000009514,chr2,KIAA1211L,KIAA1211 like [Source:HGNC Symbol;Acc:HGNC:33454],93295338,93368363,124562_68,0.017550000000000003,93359090,0/0/34,0/4/17,FALSE,FALSE,TRUE,34,21,0.23532111553784865,0
ENSOCUG00000015619,chr5,CALB2,calbindin 2 [Source:HGNC Symbol;Acc:HGNC:1435],28163102,28191671,151839_19,0.017580000000000002,28165712,0/12/25,4/3/15,FALSE,FALSE,TRUE,37,22,0.23532111553784865,0
ENSOCUG00000024140,chr5,NA,NA,28131626,28134992,151839_19,0.017580000000000002,28165712,0/12/25,4/3/15,FALSE,TRUE,FALSE,37,22,0.23532111553784865,30720
ENSOCUG00000013722,chr4,PAWR,pro-apoptotic WT1 regulator [Source:HGNC Symbol;Acc:HGNC:8614],58835816,58947647,145268_61,0.01759,58857502,1/10/16,5/12/5,FALSE,FALSE,TRUE,27,22,0.23532111553784865,0
ENSOCUG00000017240,chr12,CDC5L,cell division cycle 5 like [Source:HGNC Symbol;Acc:HGNC:1743],33775399,33829886,17749_57,0.017730000000000003,33817046,2/10/28,0/2/31,FALSE,FALSE,TRUE,40,33,0.23532111553784865,0
ENSOCUG00000016156,chr7,ST7,suppressor of tumorigenicity 7 protein isoform a  [Source:RefSeq peptide;Acc:NP_001103839],28002778,28135161,164939_37,0.017740000000000002,27974464,1/18/19,6/10/7,FALSE,TRUE,FALSE,38,23,0.23532111553784865,28314
ENSOCUG00000016173,chr7,WNT2,Wnt family member 2 [Source:HGNC Symbol;Acc:HGNC:12780],27896341,27944312,164939_37,0.017740000000000002,27974464,1/18/19,6/10/7,FALSE,TRUE,FALSE,38,23,0.23532111553784865,30152
ENSOCUG00000023749,GL019102,NA,NA,14570,18925,266530_14,0.017740000000000002,53228,1/27/10,3/12/16,FALSE,TRUE,FALSE,38,31,0.23532111553784865,34303
ENSOCUG00000004460,chr1,BNC2,basonuclin 2 [Source:HGNC Symbol;Acc:HGNC:30988],37165358,37620825,98528_58,0.01778,37467806,3/26/11,3/7/14,FALSE,FALSE,TRUE,40,24,0.23532111553784865,0
ENSOCUG00000026897,chr10,NA,NA,13621429,13622724,507_46,0.01785,13620064,0/7/33,2/14/19,FALSE,TRUE,FALSE,40,35,0.23532111553784865,1365
ENSOCUG00000001945,GL018758,TRBV19,T cell receptor beta variable 19 [Source:HGNC Symbol;Acc:HGNC:12194],1519269,1519762,226750_65,0.01786,1524884,0/0/42,0/5/31,FALSE,TRUE,FALSE,42,36,0.23532111553784865,5122
ENSOCUG00000021032,GL018758,TRBV12-5,T cell receptor beta variable 12-5 [Source:HGNC Symbol;Acc:HGNC:12187],1486339,1487245,226750_65,0.01786,1524884,0/0/42,0/5/31,FALSE,TRUE,FALSE,42,36,0.23532111553784865,37639
ENSOCUG00000021868,GL018758,NA,NA,1539145,1541302,226750_65,0.01786,1524884,0/0/42,0/5/31,TRUE,FALSE,FALSE,42,36,0.23532111553784865,14261
ENSOCUG00000022013,GL018758,NA,NA,1551806,1552271,226750_65,0.01786,1524884,0/0/42,0/5/31,TRUE,FALSE,FALSE,42,36,0.23532111553784865,26922
ENSOCUG00000024391,GL018783,NA,NA,1137853,1138773,233212_41,0.01786,1118570,0/0/42,0/5/31,FALSE,TRUE,FALSE,42,36,0.23532111553784865,19283
ENSOCUG00000024613,GL018758,NA,NA,1542772,1543285,226750_65,0.01786,1524884,0/0/42,0/5/31,TRUE,FALSE,FALSE,42,36,0.23532111553784865,17888
ENSOCUG00000025877,GL018758,NA,NA,1558717,1559724,226750_65,0.01786,1524884,0/0/42,0/5/31,TRUE,FALSE,FALSE,42,36,0.23532111553784865,33833
ENSOCUG00000026020,GL018758,NA,NA,1562537,1562996,226750_65,0.01786,1524884,0/0/42,0/5/31,TRUE,FALSE,FALSE,42,36,0.23532111553784865,37653
ENSOCUG00000026937,GL018758,NA,NA,1555154,1556140,226750_65,0.01786,1524884,0/0/42,0/5/31,TRUE,FALSE,FALSE,42,36,0.23532111553784865,30270
ENSOCUG00000029309,GL018758,NA,NA,1536352,1536811,226750_65,0.01786,1524884,0/0/42,0/5/31,TRUE,FALSE,FALSE,42,36,0.23532111553784865,11468
ENSOCUG00000015547,chr2,LIMCH1,LIM and calponin homology domains 1 [Source:HGNC Symbol;Acc:HGNC:29191],30471870,30819609,119515_49,0.01788,30550257,11/11/6,1/11/8,FALSE,FALSE,TRUE,28,20,0.23532111553784865,0
ENSOCUG00000014957,GL018728,FRMD3,FERM domain containing 3 [Source:HGNC Symbol;Acc:HGNC:24125],348523,635836,215012_55,0.017910000000000002,638413,6/9/17,2/16/6,TRUE,FALSE,FALSE,32,24,0.23532111553784865,2577
ENSOCUG00000005631,GL018725,CD40,CD40 molecule [Source:HGNC Symbol;Acc:HGNC:11919],1087565,1098803,212266_32,0.017980000000000003,1136583,6/24/11,7/9/18,FALSE,TRUE,FALSE,41,34,0.23532111553784865,37780
ENSOCUG00000005045,chr20,SYNE2,spectrin repeat containing nuclear envelope protein 2 [Source:HGNC Symbol;Acc:HGNC:17084],11576207,11892491,105168_70,0.01804,11828459,4/22/7,1/8/13,FALSE,FALSE,TRUE,33,22,0.23532111553784865,0
ENSOCUG00000000786,GL018791,EPHA2,EPH receptor A2 [Source:HGNC Symbol;Acc:HGNC:3386],240134,264789,234820_49,0.01812,254418,0/12/16,4/4/15,FALSE,FALSE,TRUE,28,23,0.23532111553784865,0
ENSOCUG00000024417,chr13,NDUFS5,NADH:ubiquinone oxidoreductase subunit S5 [Source:HGNC Symbol;Acc:HGNC:7712],127461624,127469672,25800_79,0.01812,127440785,0/3/38,3/8/25,FALSE,TRUE,FALSE,41,36,0.23532111553784865,20839
ENSOCUG00000007417,chr20,SGPP1,sphingosine-1-phosphate phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:17720],11406715,11444754,105096_56,0.018150000000000003,11398526,3/22/17,7/24/5,FALSE,TRUE,FALSE,42,36,0.23532111553784865,8189
ENSOCUG00000010430,chr13,KIAA0907,KIAA0907 [Source:HGNC Symbol;Acc:HGNC:29145],36920386,36942818,32396_24,0.018160000000000003,36892707,1/1/39,0/7/25,TRUE,FALSE,FALSE,41,32,0.23532111553784865,27679
ENSOCUG00000001012,chr15,SLC18A1,solute carrier family 18 member A1 [Source:HGNC Symbol;Acc:HGNC:10934],4724203,4746650,51894_27,0.01818,4774213,1/11/27,2/19/13,TRUE,FALSE,FALSE,39,34,0.23532111553784865,27563
ENSOCUG00000001013,chr15,ATP6V1B2,ATPase H+ transporting V1 subunit B2 [Source:HGNC Symbol;Acc:HGNC:854],4762762,4792118,51894_27,0.01818,4774213,1/11/27,2/19/13,FALSE,FALSE,TRUE,39,34,0.23532111553784865,0
ENSOCUG00000014083,chr15,LZTS1,leucine zipper tumor suppressor 1 [Source:HGNC Symbol;Acc:HGNC:13861],4809005,4847681,51894_27,0.01818,4774213,1/11/27,2/19/13,FALSE,TRUE,FALSE,39,34,0.23532111553784865,34792
ENSOCUG00000007609,chr13,PBX1,PBX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:8632],28088643,28145346,31297_74,0.01821,28173639,6/12/24,9/18/9,TRUE,FALSE,FALSE,42,36,0.23532111553784865,28293
ENSOCUG00000012202,chr1,NA,NA,188711101,188712033,96703_37,0.01821,188745551,1/11/23,3/11/6,FALSE,TRUE,FALSE,35,20,0.23532111553784865,33518
ENSOCUG00000012205,chr1,NA,NA,188744560,188745465,96703_37,0.01821,188745551,1/11/23,3/11/6,FALSE,TRUE,FALSE,35,20,0.23532111553784865,86
ENSOCUG00000012208,chr1,OR5W2,olfactory receptor family 5 subfamily W member 2 [Source:HGNC Symbol;Acc:HGNC:15299],188756716,188757648,96703_37,0.01821,188745551,1/11/23,3/11/6,FALSE,TRUE,FALSE,35,20,0.23532111553784865,11165
ENSOCUG00000014214,chr1,NA,NA,188766882,188768240,96703_37,0.01821,188745551,1/11/23,3/11/6,FALSE,TRUE,FALSE,35,20,0.23532111553784865,21331
ENSOCUG00000021698,chr1,OR5D16,olfactory receptor family 5 subfamily D member 16 [Source:HGNC Symbol;Acc:HGNC:15283],188729737,188730678,96703_37,0.01821,188745551,1/11/23,3/11/6,FALSE,TRUE,FALSE,35,20,0.23532111553784865,14873
ENSOCUG00000025158,chr1,NA,NA,188750986,188751924,96703_37,0.01821,188745551,1/11/23,3/11/6,FALSE,TRUE,FALSE,35,20,0.23532111553784865,5435
ENSOCUG00000026737,chr1,NA,NA,188719149,188720093,96703_37,0.01821,188745551,1/11/23,3/11/6,FALSE,TRUE,FALSE,35,20,0.23532111553784865,25458
ENSOCUG00000015521,chr18,CACUL1,CDK2 associated cullin domain 1 [Source:HGNC Symbol;Acc:HGNC:23727],66013762,66090931,77504_21,0.018240000000000003,66119415,0/3/33,0/11/24,TRUE,FALSE,FALSE,36,35,0.23532111553784865,28484
ENSOCUG00000023578,chr12,NA,NA,119914004,119915327,11292_44,0.018250000000000002,119891946,4/22/8,8/6/7,FALSE,TRUE,FALSE,34,21,0.23532111553784865,22058
ENSOCUG00000029600,chr12,TMEM244,transmembrane protein 244 [Source:HGNC Symbol;Acc:HGNC:21571],119876757,119906504,11292_44,0.018250000000000002,119891946,4/22/8,8/6/7,FALSE,FALSE,TRUE,34,21,0.23532111553784865,0
ENSOCUG00000005729,chr20,RIN3,Ras and Rab interactor 3 [Source:HGNC Symbol;Acc:HGNC:18751],13366677,13474910,105570_17,0.018320000000000003,13472321,1/11/12,0/2/15,FALSE,FALSE,TRUE,24,17,0.23532111553784865,0
ENSOCUG00000015389,chr8,TEAD4,TEA domain transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11717],29175742,29464015,173669_50,0.018320000000000003,29320550,0/15/12,1/2/11,FALSE,FALSE,TRUE,27,14,0.23532111553784865,0
ENSOCUG00000002669,chr9,TCF4,transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11634],95784090,96160548,191285_60,0.01835,96005541,0/10/31,3/15/17,FALSE,FALSE,TRUE,41,35,0.23532111553784865,0
ENSOCUG00000009265,GL019871,NA,NA,1737,18256,278015_52,0.01836,4588,0/9/26,4/9/12,FALSE,FALSE,TRUE,35,25,0.23532111553784865,0
ENSOCUG00000011386,chr19,MAPT,microtubule associated protein tau [Source:HGNC Symbol;Acc:HGNC:6893],46310443,46347765,85973_47,0.01839,46292056,1/5/17,0/10/6,TRUE,FALSE,FALSE,23,16,0.23532111553784865,18387
ENSOCUG00000001646,GL018831,ZNHIT1,zinc finger HIT-type containing 1 [Source:HGNC Symbol;Acc:HGNC:21688],253469,258987,243128_22,0.0184,216902,0/1/33,0/5/14,TRUE,FALSE,FALSE,34,19,0.23532111553784865,36567
ENSOCUG00000002923,GL018831,NA,NA,225186,228194,243128_22,0.0184,216902,0/1/33,0/5/14,TRUE,FALSE,FALSE,34,19,0.23532111553784865,8284
ENSOCUG00000004985,GL018831,NA,NA,243155,245448,243128_22,0.0184,216902,0/1/33,0/5/14,FALSE,TRUE,FALSE,34,19,0.23532111553784865,26253
ENSOCUG00000005993,GL018831,NA,NA,215950,218458,243128_22,0.0184,216902,0/1/33,0/5/14,FALSE,FALSE,TRUE,34,19,0.23532111553784865,0
ENSOCUG00000021812,GL018831,PLOD3,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 [Source:HGNC Symbol;Acc:HGNC:9083]",247103,252659,243128_22,0.0184,216902,0/1/33,0/5/14,FALSE,TRUE,FALSE,34,19,0.23532111553784865,30201
ENSOCUG00000005997,GL019283,MEIOB,meiosis specific with OB domains [Source:HGNC Symbol;Acc:HGNC:28569],13609,43698,271609_43,0.018410000000000003,80764,0/12/14,3/4/18,TRUE,FALSE,FALSE,26,25,0.23532111553784865,37066
ENSOCUG00000016283,GL019283,RPL3L,ribosomal protein L3 like [Source:HGNC Symbol;Acc:HGNC:10351],84846,92352,271609_43,0.018410000000000003,80764,0/12/14,3/4/18,FALSE,TRUE,FALSE,26,25,0.23532111553784865,4082
ENSOCUG00000017112,chr16,PIP4K2A,phosphatidylinositol-5-phosphate 4-kinase type 2 alpha [Source:HGNC Symbol;Acc:HGNC:8997],38562817,38742626,58130_20,0.018410000000000003,38756866,16/9/14,4/14/15,FALSE,TRUE,FALSE,39,33,0.23532111553784865,14240
ENSOCUG00000022831,GL019283,MSRB1,methionine sulfoxide reductase B1 [Source:HGNC Symbol;Acc:HGNC:14133],77673,85816,271609_43,0.018410000000000003,80764,0/12/14,3/4/18,FALSE,FALSE,TRUE,26,25,0.23532111553784865,0
ENSOCUG00000024657,GL019283,NA,NA,113,68715,271609_43,0.018410000000000003,80764,0/12/14,3/4/18,TRUE,FALSE,FALSE,26,25,0.23532111553784865,12049
ENSOCUG00000016513,chr1,TBC1D2,TBC1 domain family member 2 [Source:HGNC Symbol;Acc:HGNC:18026],14884894,14934177,92416_52,0.018430000000000002,14869653,5/8/23,3/19/13,TRUE,FALSE,FALSE,36,35,0.23532111553784865,15241
ENSOCUG00000007264,chr12,TREML1,triggering receptor expressed on myeloid cells like 1 [Source:HGNC Symbol;Acc:HGNC:20434],30903965,30909550,17090_49,0.01845,30949161,10/16/10,4/4/15,TRUE,FALSE,FALSE,36,23,0.23532111553784865,39611
ENSOCUG00000007265,chr12,TREM2,triggering receptor expressed on myeloid cells 2 [Source:HGNC Symbol;Acc:HGNC:17761],30912169,30918630,17090_49,0.01845,30949161,10/16/10,4/4/15,TRUE,FALSE,FALSE,36,23,0.23532111553784865,30531
ENSOCUG00000003464,chr12,TMEM63B,transmembrane protein 63B [Source:HGNC Symbol;Acc:HGNC:17735],33538323,33559954,17681_39,0.01846,33508204,2/10/30,0/2/34,TRUE,FALSE,FALSE,42,36,0.23532111553784865,30119
ENSOCUG00000015740,chr12,NA,NA,33515767,33532770,17681_39,0.01846,33508204,2/10/30,0/2/34,FALSE,TRUE,FALSE,42,36,0.23532111553784865,7563
ENSOCUG00000024790,chr9,CELF4,"CUGBP, Elav-like family member 4 [Source:HGNC Symbol;Acc:HGNC:14015]",78437601,78702306,189370_57,0.01847,78522680,7/24/9,4/10/17,FALSE,FALSE,TRUE,40,31,0.23532111553784865,0
ENSOCUG00000005286,chr9,CACNA2D2,calcium voltage-gated channel auxiliary subunit alpha2delta 2 [Source:HGNC Symbol;Acc:HGNC:1400],17827235,18075038,182567_22,0.01856,17898849,1/17/24,0/6/30,FALSE,FALSE,TRUE,42,36,0.23532111553784865,0
ENSOCUG00000026695,chr9,NA,NA,17903463,17905642,182567_22,0.01856,17898849,1/17/24,0/6/30,TRUE,FALSE,FALSE,42,36,0.23532111553784865,4614
ENSOCUG00000004845,GL018810,SNRPD3,small nuclear ribonucleoprotein D3 polypeptide [Source:HGNC Symbol;Acc:HGNC:11160],639704,651617,239332_42,0.018590000000000002,677824,7/16/5,1/11/12,FALSE,TRUE,FALSE,28,24,0.23532111553784865,26207
ENSOCUG00000012233,GL018810,GGT5,gamma-glutamyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:4260],692224,714312,239332_42,0.018590000000000002,677824,7/16/5,1/11/12,TRUE,FALSE,FALSE,28,24,0.23532111553784865,14400
ENSOCUG00000026549,GL018810,NA,NA,680390,689828,239332_42,0.018590000000000002,677824,7/16/5,1/11/12,TRUE,FALSE,FALSE,28,24,0.23532111553784865,2566
